PAP1 RPL28
YSH1 ECSIT
RPN12 C10orf10
RPN10 TRAPPC6A
CKA1 CORO2A
CKA2 STIP1
SNU71 CDK5R1
PRP40 ELA1
RPN11 SDC3
CKB1 TRIM33
CFT2 STK11IP
RPN9 TALDO1
RPN8 CTDP1
PFS2 ZNF423
TAF5 IGSF1
TAF6 MEN1
RSC58 XPO1
NPL6 PABPC3
MPE1 MALL
UTP4 PARD6A
UTP15 TSC1
PTA1 ZMYM2
NUT1 SNRPB2
SIN4 C16orf33
UTP8 PRKCI
NAN1 NCF1
RSC6 RNUXA
STH1 HOMER2
UTP10 CYFIP1
CSL4 NOL4
DIS3 MGA
CFT1 PSG2
RPN6 WWP2
RSC8 CEL
SNP1 INCENP
RRP4 SNAPC5
RPT2 DIDO1
RPT6 TRAPPC6B
SCL1 CTSA
PRE6 TG
SRB4 DNAJC8
SRB5 SF3B3
RPN3 TRAPPC3
RSC2 ORC1L
TAF12 SCGB2A1
CKB2 PEX5
RPN2 GTF2E1
BRR2 AKAP8
SNU114 DUSP1
RPT3 PDIA4
NOP7 CD3EAP
ERB1 HSP90AB1
HIF1 GRIA4
HAT1 GRIA2
RRP6 DIXDC1
PRE9 GALNS
RPD3 ARG2
UME1 ZBTB43
MED8 SFRS1
RPT4 QKI
RPN7 TRAPPC1
RPN5 MTTP
TPD3 NPHS1
CDC55 EPN1
RPN1 TRAPPC2L
SWD2 C1QBP
RSC4 RCC1
RRP45 SLC3A1
RRP40 GADD45A
PRE5 PTBP2
RRP43 MAP3K4
PRE4 LAMP2
PRE10 MED8
HAT2 PPFIA2
PTI1 CITED1
SIN3 HLA-DRB1
SKI6 ANP32A
PRP8 HIST1H3A
MED1 PPIL1
MUD1 CORT
RVB1 SMC1B
RVB2 SYNCRIP
PRP42 STX1B1
PRP39 HLA-DPB1
PRP6 MAPKAPK3
PRP4 OGT
FIP1 CCR2
RPT1 HYOU1
RRP42 DYRK1A
RSC9 PAIP2
PWP2 WASF1
UTP6 BRAF
ARP9 TIAL1
ARP7 NAP1L5
SNU56 CDCA8
RSE1 NEFH
HSH155 VAMP4
RPO31 TAC3
RET1 FASTK
UTP9 KIF1C
UTP18 ARHGAP15
UTP13 MAP2K5
RRP46 BUB1B
MED4 SNRPD3
LUC7 AURKB
MED6 PFKL
RPB5 PIGT
RPB8 TACR1
SPT7 CCL25
SFH1 FUT1
HPR1 ATP2A2
RLR1 SLN
UTP21 YWHAQ
PRP3 BACE1
ADA2 SNW1
RPA190 DKC1
RPA135 AKAP1
PRP31 STX16
COP1 SMC2
SEC26 SMC4
RPT5 TRAPPC4
TAF1 ERCC6
SRB7 MATR3
SNU66 NOD2
RPC82 PTCD3
RFA1 PDCD6
RFA2 IGFALS
RSC3 ELAVL1
CSE2 DHX15
PAT1 CCND3
LSM1 DMTF1
TAF3 RPA1
PRE2 GLB1
PRE8 CLIC2
NAM8 AMPH
SKI7 AXIN1
RPO26 UPF3A
REF2 PTPRE
RPB3 DDX39
RPB4 STIM2
RSC1 ST6GAL1
RPC34 OMP
NOC3 RPL6
NOC2 NFKBIE
PRE7 DIP2A
YTM1 CUL1
SEC27 NCAPD2
SRB2 RBM17
RTF1 ADRA2B
CTR9 TUBA6
RPC40 GPHA2
RGR1 HSPD1
SWD1 PLRG1
BRE2 SCG3
NIP1 SOS2
PRT1 LIMK1
RPO21 UPF3B
RPB2 LUM
TFG2 UPF1
KAP95 ELP3
SRP1 ELP4
PUP3 ARPC2
SEC21 FAM86C
TAF11 CACHD1
RPN13 RBM41
PPH3 EIF2C2
PSY2 COTL1
RPG1 MUC1
ITC1 CR2
ISW2 GRM3
SPT20 EMILIN2
SMB1 CSNK1D
SMD3 SEPT1
SPT8 ARL6IP1
PRP19 PPP1R14A
CLF1 STX6
PRP46 VPS16
DIP2 MAP4K1
UBP2 MMP1
RUP1 SAA2
GCN5 RPA2
RPC37 GRIK5
GCN3 DPPA4
GCD7 DPPA2
RCO1 ABCB11
EAF3 IL12A
NGG1 XAB2
RPB9 NXF1
ORC5 P4HA2
ORC4 TM9SF2
SPP1 ZRANB2
LEO1 JMJD5
RET2 TNFAIP6
HFI1 UNG2
TAF9 ZMIZ1
SYF1 STX4
GCD6 EAF2
GCD2 THAP1
PAF1 PCYT2
GLC7 GABRB1
TAF4 SCGB1D1
TAF10 XPA
PRE3 CTSD
COR1 DFNB31
QCR2 LRP4
SDS3 HLA-DOA
SAP30 CGA
RPB7 FOXP1
RPA43 PIGK
RFA3 CPNE2
SMD1 STXBP1
SMD2 VPS45
CTI6 ARG1
RPC53 PIGU
PSY4 CARD9
TFG1 UPF2
RPB11 PPM2C
SIF2 LRRC59
HOS4 HPS3
GCD1 MOAP1
MTR3 SLC7A8
DRS1 SRF
PRE1 TRAPPC2
PGD1 SNRPD2
MAK21 POLR2H
PPH21 RIC8A
GCD11 ZCCHC10
ECM29 RAD54B
MED11 SF3A2
EPL1 ACCN1
ESA1 IL12B
ORC6 FAM103A1
IES1 SETD2
INO80 MAP3K7IP2
RNR4 CYP1A1
RNR2 NRTN
LSM2 CCND2
SGF29 DBF4
ORC2 PALLD
ORC1 RMND5B
EDC3 SOX13
DCP2 CPN2
SRB6 PHF5A
STO1 LITAF
CBC2 CDK5RAP3
RIX1 GTF2I
IPI3 TRIP4
SEC28 CAMK1D
CDC73 TBL1XR1
NHP10 CS
RNA15 GUCA2A
RNA14 RAB25
RPC25 BEX2
NSP1 ZNF622
NUP82 TJP3
SGF73 CCR9
THP2 RPS3
NUG1 RXRA
NOG1 NCOA1
SUI2 UXS1
NOP2 KPNA2
NIP7 RASAL2
HAS1 CHUK
VID22 OPCML
TBF1 BANK1
RPC31 TACR3
MRP1 PPP2CB
RSM25 CENPJ
CDC10 OTUD7B
SHS1 GPR17
ARP8 CRYAA
RPA49 TERT
POL12 PDE4DIP
POL1 NARG1
PUP2 CLIC1
RPB10 TAC1
SPT3 ORC5L
TIP20 SPRR1A
SEC39 MID1
YTH1 C1QA
UBP6 CDC23
CUS1 MAPT
NUT2 SF3B1
GAL11 SNRPA1
PRP9 EEF2K
LEA1 CSN2
SIK1 PAK1
NOP58 CSNK2A2
SNF5 CDK5RAP2
SWI3 ZNF259
SRB8 PTCH2
SSN2 ZRSR2
ERP1 TAP2
EMP24 PDIA3
ORC3 TSSK3
CDC12 APEX2
EAF1 LMO3
SPT16 HSPA14
POB3 AGXT
ARC15 MTERFD2
ARP3 C20orf75
TPS1 DGCR2
TPS2 TNKS
TFB1 NUP54
SSL1 NTSR1
PAC10 TNFSF4
GIM5 AMN
RPC19 PIGS
ARC35 FNDC5
TIF34 PFKFB2
PRP21 NEFM
MED7 C21orf77
NSA1 IQGAP2
IMD3 ERBB2
IMD4 ETS1
ARC1 MKI67
MES1 CBX3
MFT1 ATP2A1
MRPL35 C20orf39
MRP7 PFDN2
LSM4 PKP4
TSL1 TNKS2
RTT102 FOXP2
POL2 AANAT
DPB2 HSPA1B
CDC23 WNT7A
APC2 POU2AF1
SUI3 RPS6
ZUO1 PKP2
SSZ1 TIAM1
SET1 HOXD4
CCR4 HIST1H2BN
CDC39 SYT9
