YeastENSP YeastSGD YeastEntrezID YeastBioGRID HumanENSP HumanHGNC HumanEntrezID HumanBioGRID Comp
YAL003W EFB1 851260 31787 ENSP00000236957 EEF1B2 1933 108253 1
YBR110W ALG1 852407 32814 ENSP00000262374 ALG1 56052 121033 1
YBR154C RPB5 852451 32853 ENSP00000464739 POLR2E 5434 111430 1
YBR155W CNS1 852452 32854 ENSP00000360329 TTC4 7268 113119 1
YBR243C ALG7 852545 32938 ENSP00000386597 DPAGT1 1798 108133 1
YBR247C ENP1 852549 32942 ENSP00000230340 BYSL 705 107167 1
YBR252W DUT1 852554 32947 ENSP00000370376 DUT 1854 108187 1
YBR254C TRS20 852556 32949 ENSP00000392495 TRAPPC2 6399 112299 1
YBR257W POP4 852560 32953 ENSP00000465213 POP4 10775 115993 1
YBR265W TSC10 852568 32961 ENSP00000385083 KDSR 2531 108807 1
YCL059C KRR1 850298 30927 ENSP00000229214 KRR1 11103 116284 1
YDL007W RPT2 851557 32047 ENSP00000261303 PSMC1 5700 111673 1
YDL064W UBC9 851495 31995 ENSP00000384361 UBE2I 7329 113177 1
YDL126C CDC48 851431 31937 ENSP00000351777 VCP 7415 113258 1
YDL141W BPL1 851414 31920 ENSP00000338387 HLCS 3141 109386 1
YDL147W RPN5 851408 31914 ENSP00000348442 PSMD12 5718 111690 1
YDL150W RPC53 851404 31911 ENSP00000303088 POLR3D 661 107129 1
YDL164C CDC9 851391 31901 ENSP00000263274 LIG1 3978 110166 1
YDL166C FAP7 851388 31899 ENSP00000370193 TAF9 6880 112743 1
YDL205C HEM3 851322 31841 ENSP00000278715 HMBS 3145 109388 1
YDL208W NHP2 851319 31838 ENSP00000274606 NHP2 55651 120783 1
YDL217C TIM22 851309 31828 ENSP00000320236 TIMM22 29928 118969 1
YDR021W FAL1 851584 32071 ENSP00000269349 EIF4A3 9775 115119 1
YDR023W SES1 851587 32074 ENSP00000358939 SARS 6301 112208 1
YDR037W KRS1 851607 32092 ENSP00000325448 KARS 3735 109938 1
